Array Size,Elapsed Time,Block Size,Grid Size
1,0.008193,32,0
2,0.007137,32,0
4,0.006337,32,0
8,0.007072,32,0
16,0.007169,32,0
32,0.052257,32,1
64,0.015361,32,2
128,0.014336,32,4
256,0.014336,32,8
512,0.017345,32,16
1024,0.014337,32,32
2048,0.014337,32,64
4096,0.014337,32,128
8192,0.015362,32,256
16384,0.044867,32,512
32768,0.021574,32,1024
65536,0.036522,32,2048
131072,0.059572,32,4096
262144,0.109767,32,8192
524288,0.230445,32,16384
1048576,0.387193,32,32768
